,picUrl,name,score
0,//car3.autoimg.cn/cardfs/product/g27/M02/4A/31/120x90_0_q95_autohomecar__ChsEnV05Zr-AKcY5AAj4Jsy4S4I620.jpg,轩逸,4.48
1,//car3.autoimg.cn/cardfs/product/g24/M0A/FD/21/120x90_0_q95_autohomecar__ChcCL1rsLTOAQyM_AAjMLl8POrE802.jpg,朗逸,4.32
2,//car2.autoimg.cn/cardfs/product/g27/M0B/B2/1D/120x90_0_q95_autohomecar__ChsEfFzWw76Aal7PAAW0eRV41Uw122.jpg,思域,4.25
3,//car3.autoimg.cn/cardfs/product/g26/M07/65/E5/120x90_0_q95_autohomecar__ChcCP1yPBKGAUt8RAAQ_n2YofIk969.jpg,速腾,4.45
4,//car2.autoimg.cn/cardfs/product/g29/M07/94/CA/120x90_0_q95_autohomecar__ChsEfl1KnF2ASVpgAAeezEqn9Ak100.jpg,卡罗拉,4.57
5,//car3.autoimg.cn/cardfs/product/g28/M01/0E/1B/120x90_0_q95_autohomecar__ChsEnl1yE-yAbpFvAAcVeiJ3HGs166.jpg,马自达3 昂克赛拉,4.69
6,//car2.autoimg.cn/cardfs/product/g2/M07/1A/63/120x90_0_q95_autohomecar__wKgHGVsCImqAW5_CAAkpqhMjGbY009.jpg,宝来,4.29
7,//car3.autoimg.cn/cardfs/product/g2/M0A/D0/1D/120x90_0_q95_autohomecar__ChsEmlwHtUOAUvEbAAeHOU9IDvU741.jpg,奥迪A3,4.37
8,//car3.autoimg.cn/cardfs/product/g1/M07/50/DB/120x90_0_q95_autohomecar__ChsEj1vsBE2AGc87AAuSant7Hcg843.jpg,高尔夫,4.31
9,//car2.autoimg.cn/cardfs/product/g27/M09/AD/26/120x90_0_q95_autohomecar__wKgHHlt5kueAYDK0AAkulhAL_ec276.jpg,领克03,4.60
10,//car2.autoimg.cn/cardfs/product/g29/M01/23/66/120x90_0_q95_autohomecar__ChcCSFy2gASAeV8wAAR3FUSe2-U279.jpg,雷凌,4.69
11,//car2.autoimg.cn/cardfs/product/g8/M02/08/A5/120x90_0_q95_autohomecar__wKgHz1ZmxS-AeMzqAAc46mV82qU530.jpg,高尔夫(进口),4.52
12,//car3.autoimg.cn/cardfs/product/g26/M08/4D/DA/120x90_0_q95_autohomecar__ChsEnF06aVWAd-ZFAAU1e-JZi18775.jpg,福克斯,4.58
13,//car2.autoimg.cn/cardfs/product/g27/M05/EC/98/120x90_0_q95_autohomecar__ChsEfFvW_0CAIhZSAAczncLcKmw147.jpg,英朗,4.60
14,//car3.autoimg.cn/cardfs/product/g29/M02/B2/74/120x90_0_q95_autohomecar__wKgHJFt7mbGAT_gWAAbcdEPdguU923.jpg,凌渡,4.41
15,//car3.autoimg.cn/cardfs/product/g30/M05/AD/AC/120x90_0_q95_autohomecar__ChsEoF2nJgOAbrWcAAdNmClvOu4974.jpg,奔驰A级,4.68
16,//car2.autoimg.cn/cardfs/product/g2/M01/C0/EE/120x90_0_q95_autohomecar__ChsEmlu-tXCAUwhvAAs5X7Etl6c423.jpg,菲斯塔,4.50
17,//car3.autoimg.cn/cardfs/product/g28/M06/A0/C4/120x90_0_q95_autohomecar__ChcCR11NcqyAKYtsAAqikhjUSeM058.jpg,名爵6,4.66
18,//car3.autoimg.cn/cardfs/product/g26/M08/5C/D3/120x90_0_q95_autohomecar__ChsEe1z9_yCAGEbrAAoSX82inUg075.jpg,宝马2系,4.25
19,//car3.autoimg.cn/cardfs/product/g2/M05/D4/A5/120x90_0_q95_autohomecar__ChcCRFxr1IuAUcKsAA8zHZ64Fb8606.jpg,宝马1系,4.28
20,//car3.autoimg.cn/cardfs/product/g1/M08/9E/25/120x90_0_q95_autohomecar__ChcCQ1uChrWAW-Z7AA1o5hsvAZU153.jpg,凌派,4.40
21,//car3.autoimg.cn/cardfs/product/g30/M0B/2C/E4/120x90_0_q95_autohomecar__ChsEf10zGiOAC5t2AAZdBn-5jLs578.jpg,领动,4.44
22,//car2.autoimg.cn/cardfs/product/g30/M07/1E/5D/120x90_0_q95_autohomecar__ChsEoFzurCCAWWaKAAoQDTLgZFM489.jpg,帝豪,4.63
23,//car3.autoimg.cn/cardfs/product/g30/M05/C4/7D/120x90_0_q95_autohomecar__ChcCSVt-hKKAHcOtAAedSDNlaWI311.jpg,桑塔纳,4.36
24,//car2.autoimg.cn/cardfs/product/g29/M0B/16/81/120x90_0_q95_autohomecar__ChcCSFx3sd6AWX3UAAhRHPZPE_M849.jpg,科鲁泽,4.67
25,//car2.autoimg.cn/cardfs/product/g2/M0B/23/B9/120x90_0_q95_autohomecar__ChsEmlvYPcuAK-DZAAoLa2M7vVs371.jpg,荣威i5,4.79
26,//car3.autoimg.cn/cardfs/product/g2/M06/20/9D/120x90_0_q95_autohomecar__ChsEkFzuyD-AJd9rAAajZH4bvKg368.jpg,帝豪GL,4.58
27,//car2.autoimg.cn/cardfs/product/g27/M03/D9/54/120x90_0_q95_autohomecar__ChsEfF1fndqARBqkAAeu1h7N8Ig489.jpg,威朗,4.42
28,//car2.autoimg.cn/cardfs/product/g1/M09/AC/18/120x90_0_q95_autohomecar__ChcCQ1wSOcGAZb_zAAfqN0H0pZg317.jpg,明锐,4.51
29,//car3.autoimg.cn/cardfs/product/g30/M0A/44/3A/120x90_0_q95_autohomecar__ChsEf104emqAdMd0AAmpA8tfFVQ499.jpg,逸动,4.70
30,//car2.autoimg.cn/cardfs/product/g2/M0B/EA/52/120x90_0_q95_autohomecar__ChsEml1T-9uAE8UjAAYtCZUPYTs633.jpg,捷达VA3,
31,//car3.autoimg.cn/cardfs/product/g1/M08/BA/7C/120x90_0_q95_autohomecar__ChsEj1yaM6SAGGpAAAfKvm5FAQ4600.jpg,科沃兹,4.63
32,//car2.autoimg.cn/cardfs/product/g2/M0A/85/ED/120x90_0_q95_autohomecar__ChcCRF1Lx-SATI-QAAigLsqgBvg835.jpg,缤瑞,4.63
33,//car2.autoimg.cn/cardfs/product/g1/M0B/DC/E2/120x90_0_q95_autohomecar__ChsEmVuZAg2AZdF0AAUo-PA-Aro715.jpg,奔驰CLA级,4.08
34,//car2.autoimg.cn/cardfs/product/g2/M09/6C/3A/120x90_0_q95_autohomecar__ChsEkFzFe9qALhQpAAvJ6Csb7TY884.jpg,起亚K3,4.22
35,//car2.autoimg.cn/cardfs/product/g30/M00/66/86/120x90_0_q95_autohomecar__ChsEoFz_areAaKo-AAKCqQBpdOQ533.jpg,福睿斯,4.73
36,//car2.autoimg.cn/cardfs/product/g28/M0A/81/84/120x90_0_q95_autohomecar__ChcCR1yUt_yAXarPAAbUPfghFeY116.jpg,享域,4.40
37,//car2.autoimg.cn/cardfs/product/g30/M04/16/8E/120x90_0_q95_autohomecar__ChsEoFx4wAOALJxrAAcv9fU0hrk291.jpg,微蓝,4.67
38,//car3.autoimg.cn/cardfs/product/g29/M03/3D/BB/120x90_0_q95_autohomecar__wKgHJFsqJvSAJ6IaAAfu-tFUqoE150.jpg,锋范,4.22
39,//car3.autoimg.cn/cardfs/product/g2/M08/A8/F6/120x90_0_q95_autohomecar__ChcCRFzZPV-AM4HTAAm070OzBCk203.jpg,艾瑞泽5,4.68
40,//car3.autoimg.cn/cardfs/product/g30/M08/5A/C1/120x90_0_q95_autohomecar__wKgHHFsvwDGAf-BDAAhmpnvLOk0866.jpg,凯越,4.39
41,//car3.autoimg.cn/cardfs/product/g30/M08/71/CD/120x90_0_q95_autohomecar__ChsEoFySQ-OAS2QCAArILHzV7ws246.jpg,沃兰多,4.69
42,//car2.autoimg.cn/cardfs/product/g28/M01/55/4D/120x90_0_q95_autohomecar__ChsEfVzAHNyAFKnwAAh4G1vw_n0621.jpg,杰德,4.23
43,//car2.autoimg.cn/cardfs/product/g17/M0D/56/BD/120x90_0_q95_autohomecar__wKgH51mn3m6AXmePAAgqpKE7Axs170.jpg,科鲁兹,4.57
44,//car3.autoimg.cn/cardfs/product/g27/M03/CE/B1/120x90_0_q95_autohomecar__ChsEnVuFZfeAML2yAAqHfKMZYHQ514.jpg,秦Pro,4.66
45,//car2.autoimg.cn/cardfs/product/g28/M0A/18/25/120x90_0_q95_autohomecar__ChcCR1siU4CAFsJXAAfsrUjUv3M634.jpg,悦动,4.49
46,//car2.autoimg.cn/cardfs/product/g2/M07/A9/95/120x90_0_q95_autohomecar__ChsEmlv9H0qASxTEAAjNjGRh4zg948.jpg,骐达TIIDA,4.32
47,//car2.autoimg.cn/cardfs/product/g25/M0B/A5/C2/120x90_0_q95_autohomecar__ChsEmF2HOPOAXUj7AAYVKKpMZOs350.jpg,艾瑞泽GX,4.67
48,//car3.autoimg.cn/cardfs/product/g3/M0B/3F/B5/120x90_0_q95_autohomecar__ChsEm1z34z2ATmbeAAqb6HbRSJo455.jpg,远景,4.49
49,//car2.autoimg.cn/cardfs/product/g30/M09/EF/01/120x90_0_q95_autohomecar__ChcCSVvYcW-AR9HgAAjLsUvPsog378.jpg,蓝鸟,4.34
50,//car2.autoimg.cn/cardfs/product/g3/M05/04/B6/120x90_0_q95_autohomecar__ChcCRVwiJMCABF9hAAbYPWyL4_I241.jpg,标致308,4.41
51,//car3.autoimg.cn/cardfs/product/g9/M12/D0/63/120x90_0_q95_autohomecar__wKgH0FoAbCOAf3XNAAooXh-Oz0M410.jpg,C-TREK蔚领,4.43
52,//car2.autoimg.cn/cardfs/product/g27/M07/BC/11/120x90_0_q95_autohomecar__ChsEnV0UTfKAb42RAAclB0PCwUg138.jpg,荣威i6,4.64
53,//car3.autoimg.cn/cardfs/product/g27/M00/AA/68/120x90_0_q95_autohomecar__wKgHHlt48l2AXeoKAAkpGtFbLYI501.jpg,标致408,4.60
54,//car2.autoimg.cn/cardfs/product/g27/M07/0E/C4/120x90_0_q95_autohomecar__ChcCQF0pwJqAXiOMAAbILG0BmTA584.jpg,奕炫,4.81
55,//car3.autoimg.cn/cardfs/product/g3/M02/8C/F0/120x90_0_q95_autohomecar__ChsEm1yYOyqAdPHBAAmpMqa1VBg227.jpg,朗逸纯电,4.25
56,//car2.autoimg.cn/cardfs/product/g28/M07/6A/C6/120x90_0_q95_autohomecar__ChsEnlzFvf2ARBX4AAlQWVZIFlA590.jpg,Aion S(埃安S),4.62
57,//car2.autoimg.cn/cardfs/product/g19/M0A/DF/EB/120x90_0_q95_autohomecar__wKgFU1ezwFKAUmORAAlglkPrJOE907.jpg,比亚迪F3,4.61
58,//car2.autoimg.cn/cardfs/product/g2/M00/D8/DF/120x90_0_q95_autohomecar__ChsEml2kWl6AMlf7AArZdo0krWw744.jpg,奔驰B级,4.40
59,//car2.autoimg.cn/cardfs/product/g5/M11/DE/A8/120x90_0_q95_autohomecar__wKgH21ZF2eWAVu0vAAWgJbFUJTE228.jpg,哥瑞,4.21
60,//car2.autoimg.cn/cardfs/product/g15/M0A/AC/22/120x90_0_q95_autohomecar__wKgH1lnl0HKAFgp7AAibuukEvcg375.jpg,宝马1系(进口),4.29
61,//car3.autoimg.cn/cardfs/product/g3/M01/73/B0/120x90_0_q95_autohomecar__ChsEm1v-ZvqAK-XOAAmbnCd28vo790.jpg,昕锐,3.88
62,//car2.autoimg.cn/cardfs/product/g24/M07/2D/82/120x90_0_q95_autohomecar__wKgHIVp6hxOACPQyAAinrZ8wNdA483.jpg,雷克萨斯CT,4.05
63,//car2.autoimg.cn/cardfs/product/g21/M0D/41/3D/120x90_0_q95_autohomecar__wKjBwlmxGQeAO48SAARR10clryc357.jpg,奥迪RS 3,4.32
64,//car3.autoimg.cn/cardfs/product/g26/M02/38/6D/120x90_0_q95_autohomecar__ChsEnF012cWAAkI8AAbyn5-fW0s329.jpg,启辰D60,4.69
65,//car2.autoimg.cn/cardfs/product/g26/M06/6A/E4/120x90_0_q95_autohomecar__ChsEe1zFcwiAAzsvAAyYeKamfak770.jpg,秦Pro新能源,4.60
66,//car2.autoimg.cn/cardfs/product/g25/M07/4E/1A/120x90_0_q95_autohomecar__wKgHIlqWl86ABKAXAAictC_6UR4024.jpg,甲壳虫,4.16
